,DT,C4.5,k-NN,LogR,NB,SVM,LC
DS19,0.5289,0.5055,0.4579,0.5495,0.5324,0.4894,0.5374
DS20,0.5458,0.445,0.505,0.5659,0.5591,0.548,0.5578
DS21,0.5046,0.4628,0.4982,0.4611,0.4127,0.4289,0.4571
DS22,0.497,0.5238,0.5382,0.4986,0.5067,0.5315,0.4935
DS23,0.4598,0.4403,0.4656,0.4516,0.4494,0.4627,0.4516
DS24,0.5242,0.5209,0.4953,0.564,0.5487,0.5287,0.565
DS25,0.46,0.42,0.4255,0.509,0.497,0.44,0.503
DS26,0.5355,0.5105,0.4454,0.4724,0.4444,0.4815,0.4634
DS27,0.709,0.629,0.4655,0.4134,0.4142,0.4283,0.4014
DS28,1.0,1.0,0.8382,0.3455,0.9936,0.5874,0.3305
DS29,0.5,0.5,0.5,0.5,0.5,0.5,0.5
