,DT,C4.5,k-NN,LogR,NB,SVM,LC
DS19,0.4751,0.49,0.4919,0.5596,0.5637,0.5264,0.5583
DS20,0.4864,0.4958,0.5387,0.5167,0.5222,0.4934,0.5161
DS21,0.5057,0.5222,0.5589,0.527,0.5216,0.5236,0.5264
DS22,0.4864,0.4843,0.5073,0.5069,0.506,0.4903,0.5062
DS23,0.4789,0.4543,0.5089,0.5077,0.5016,0.4878,0.507
DS24,0.5349,0.517,0.4774,0.5327,0.534,0.5153,0.5331
DS25,0.4974,0.4654,0.4796,0.5042,0.5076,0.4732,0.5047
DS26,0.6317,0.6524,0.5356,0.5105,0.5067,0.5402,0.5104
DS27,0.8962,0.8993,0.5953,0.5351,0.5302,0.5164,0.5353
DS28,0.9992,0.9992,0.8944,0.506,0.9982,0.7357,0.5064
DS29,0.5,0.5,0.5,0.5,0.5,0.5,0.5
